PMCID,sentence_id,CONSORT_Item,sentence_text
PMC3002766,S45,3a,"This double-blind, randomised, parallel-group, placebo-controlled study consisted of a â‰_2-week screening period, a 24-week treatment period and an 8-week post-treatment follow-up period."
PMC3002766,S46,0,The study was approved by local ethics committees and conducted in accordance with the amended Declaration of Helsinki.
PMC3002766,S47,0,All patients gave written informed consent.
PMC3002766,S49,"4b,14a",The study was conducted from October 2003 to May 2005 at 41 centres in Europe and North America.
PMC3002766,S50,4a,"Recruited patients were â‰¥18 years old, with SSc as defined by the preliminary classification criteria of the American College of Rheumatology (ACR)17 and at least one active DU (onset between 1 week and 3 months prior to randomisation) that was selected by the investigator and termed the â€˜cardinal ulcerâ€™ (painful area, â‰¥2 mm in diameter with visible depth and loss of dermis, amenable to healing and in a location judged compatible with a vascular aetiology, specified by protocol as volar surface of the digit distal to the proximal interphalangeal digital crease)."
PMC3002766,S51,4a,"Patients were excluded if they had received intravenous prostanoids within the previous 3 months, had used phosphodiesterase inhibitors other than for intermittent treatment of male erectile dysfunction, or had received inhaled or oral prostanoids or injected botulinum toxin in an affected finger within 1 month."
PMC3002766,S52,4a,Patients were also excluded if they received systemic antibiotics to treat infected DUs within 2 weeks prior to randomisation.
PMC3002766,S53,4a,"Also excluded were patients with body weight <40 kg, severe PAH (WHO class III/IV), moderate to severe hepatic impairment or serum aminotransferase levels >3 times the upper limit of the normal range (ULN)."
PMC3002766,S54,0,Contraceptive measures and monthly pregnancy testing were required during and for 3 months after the end of study treatment.
PMC3002766,S56,"8a,8b","After screening, patients were randomised to bosentan or placebo (1:1 ratio) by sequential allocation of randomisation numbers distributed to each centre in blocks of four."
PMC3002766,S57,5,Patients received bosentan 62.5 mg twice daily for 4 weeks and then 125 mg twice daily for the remainder of the treatment period or matching placebo.
PMC3002766,S58,5,"The dose could remain at or be decreased to the starting dose due to intolerance, with possible subsequent increase to the target dose."
PMC3002766,S59,5,"Concomitant use of systemic antibiotics, analgaesics and topical treatments for wound care were allowed, and randomised treatment was administered in addition to the usual, stable (over the previous month) treatment for Raynaud's phenomenon."
PMC3002766,S60,5,"Patients who required parenteral, oral or inhaled prostanoid treatment during the study were first discontinued from study treatment."
PMC3002766,S61,5,"Use of glibenclamide, fluconazole, calcineurin inhibitors or ciclosporin A was not allowed due to potential drug interactions."
PMC3002766,S63,6a,The two primary end points were (1) the mean number of new DUs per patient assessed by the investigator up to week 24 and (2) the time to healing of the cardinal ulcer up to week 24 in patients with cardinal ulcer healing maintained for 12 or more weeks.
PMC3002766,S64,6a,"Healing was defined as complete epithelialisation, regardless of residual pain."
PMC3002766,S65,6a,Maintenance of cardinal ulcer healing required no recurrence at or contiguous to the original location at week 24 (if healing occurred before or at week 12) or during 12 weeks of observation with permissible extension of the treatment period (if healing occurred after week 12).
PMC3002766,S66,6a,"To verify that the effect of treatment would not vary substantially across relevant baseline subgroups, the number of new DUs up to week 24 was additionally analysed in subgroups based on predefined baseline factors associated with disease severity."
PMC3002766,S67,6a,"Secondary and exploratory end points included: (1) reduction of new DUs and overall DU number (proportions of patients with no new DUs and with each number of new DUs up to week 24, time to onset of each number of new DUs up to week 24 and change from baseline to week 24 in total number of all DUs), (2) healing (time to healing of all baseline DUs and of all new DUs through week 24, and proportions of patients with healing of all DUs by the end of week 24) and (3) pain and disability parameters (changes from baseline to week 24: in pain of the cardinal ulcer and overall hand pain assessed on visual analogue scales; hand disability index (an averaged score from the three Health Assessment Questionnaire (HAQ) domains of dressing/grooming, grip and hygiene); and HAQ disability index18 19)."
PMC3002766,S68,6a,"Post hoc analyses included: (1) the number of new DUs up to week 12 in the overall patient population and in subgroups defined by randomisation month (Octoberâ€“February or autumnâ€“winter and Marchâ€“September or springâ€“summer) and (2) number of new DUs, time to each successive new DU and total number of DUs through week 24 in subgroups defined by the number of DUs at baseline (<4 and â‰¥4)."
PMC3002766,S69,0,"Patients were evaluated at randomisation/baseline and every 4 weeks during treatment (or premature withdrawal, week 24 and, if applicable, 12 weeks after healing of the cardinal ulcer), with DUs assessed at each study visit."
PMC3002766,S70,0,Safety was continually monitored.
PMC3002766,S72,12a,"Efficacy analyses were performed on all treated patients using SAS software (SAS Institute, Cary, North Carolina, USA)."
PMC3002766,S73,12a,MeansÂ±SEs are presented for numerical variables and Kaplanâ€“Meier estimates for time-to-event variables.
PMC3002766,S74,12a,Treatment effects for the primary end points were evaluated using the Pitman permutation (new DUs) and log-rank test with asymptotic approximation (time to healing of the cardinal ulcer).
PMC3002766,S75,12a,"Missing data on new DUs were imputed using extrapolation, with the incidence rate of new DUs at the last assessment corrected for the missing time period."
PMC3002766,S76,0,The worst of either the calculated number or observed values at week 24 was used for patients who prematurely discontinued study treatment.
PMC3002766,S77,0,"Patients with no valid assessment post baseline (three patients on bosentan, one on placebo) were excluded from the main analysis."
PMC3002766,S78,12a,Treatment effects for new DUs in predefined subgroups were presented as point estimates and 95% two-sided CIs.
PMC3002766,S79,"12a,12b","For exploratory purposes, statistical tests of treatment difference were provided for planned secondary/exploratory and unplanned post hoc efficacy analyses and included the Pitman permutation (for changes from baseline), the Fisher exact test (for proportions) and the log-rank test (for times to event), each performed without correction for multiple testing."
PMC3002766,S80,"12a,12b","Placebo-corrected changes from baseline, RR and HRs from Cox modelling were each reported with 95% CIs where appropriate."
PMC3002766,S81,0,"Safety and baseline data were summarised descriptively, with no statistical testing planned or given."
PMC3002834,S49,23,"We studied a subgroup of CRS patients from the EpoCaReS trial (ClinicalTrials.gov, NCT00356733), and healthy controls of comparable age and gender."
PMC3002834,S50,4a,A detailed description with inclusion and exclusion criteria of the study has previously been published.14
PMC3002834,S51,0,The protocol was approved by the medical ethics committee and all patients gave informed consent.
PMC3002834,S52,0,Procedures were in accordance with the Helsinki Declaration.
