CONSORT_Item,PMCID,sentence_id,clean_sentence_text
3a,PMC3002766,S45, This double blind randomised parallel group placebo controlled study consisted screening period 24 week treatment period 8 week post treatment follow up period
0,PMC3002766,S46, The study approved local ethics committees conducted accordance amended Declaration Helsinki
0,PMC3002766,S47, All patients gave written informed consent
4b,PMC3002766,S49, The study conducted October 2003 May 2005 41 centres Europe North America
14a,PMC3002766,S49, The study conducted October 2003 May 2005 41 centres Europe North America
4a,PMC3002766,S50, Recruited patients years old SSc defined preliminary classification criteria American College Rheumatology ACR 17 least one active DU onset 1 week 3 months prior randomisation selected investigator termed ulcer   painful area mm diameter visible depth loss dermis amenable healing location judged compatible vascular aetiology specified protocol volar surface digit distal proximal interphalangeal digital crease
4a,PMC3002766,S51, Patients excluded received intravenous prostanoids within previous 3 months used phosphodiesterase inhibitors intermittent treatment male erectile dysfunction received inhaled oral prostanoids injected botulinum toxin affected finger within 1 month
4a,PMC3002766,S52, Patients also excluded received systemic antibiotics treat infected DUs within 2 weeks prior randomisation
4a,PMC3002766,S53, Also excluded patients body weight 40 kg severe PAH WHO class III IV moderate severe hepatic impairment serum aminotransferase levels 3 times upper limit normal range ULN
0,PMC3002766,S54, Contraceptive measures monthly pregnancy testing required 3 months end study treatment
8a,PMC3002766,S56, After screening patients randomised bosentan placebo 1 1 ratio sequential allocation randomisation numbers distributed centre blocks four
8b,PMC3002766,S56, After screening patients randomised bosentan placebo 1 1 ratio sequential allocation randomisation numbers distributed centre blocks four
5,PMC3002766,S57, Patients received bosentan 62 5 mg twice daily 4 weeks 125 mg twice daily remainder treatment period matching placebo
5,PMC3002766,S58, The dose could remain decreased starting dose due intolerance possible subsequent increase target dose
5,PMC3002766,S59, Concomitant use systemic antibiotics analgaesics topical treatments wound care allowed randomised treatment administered addition usual stable previous month treatment Raynaud s phenomenon
5,PMC3002766,S60, Patients required parenteral oral inhaled prostanoid treatment study first discontinued study treatment
5,PMC3002766,S61, Use glibenclamide fluconazole calcineurin inhibitors ciclosporin A allowed due potential drug interactions
6a,PMC3002766,S63, The two primary end points 1 mean number new DUs per patient assessed investigator week 24 2 time healing cardinal ulcer week 24 patients cardinal ulcer healing maintained 12 weeks
6a,PMC3002766,S64, Healing defined complete epithelialisation regardless residual pain
6a,PMC3002766,S65, Maintenance cardinal ulcer healing required recurrence contiguous original location week 24 healing occurred week 12 12 weeks observation permissible extension treatment period healing occurred week 12
6a,PMC3002766,S66, To verify effect treatment would vary substantially across relevant baseline subgroups number new DUs week 24 additionally analysed subgroups based predefined baseline factors associated disease severity
6a,PMC3002766,S67, Secondary exploratory end points included 1 reduction new DUs overall DU number proportions patients new DUs number new DUs week 24 time onset number new DUs week 24 change baseline week 24 total number DUs 2 healing time healing baseline DUs new DUs week 24 proportions patients healing DUs end week 24 3 pain disability parameters changes baseline week 24 pain cardinal ulcer overall hand pain assessed visual analogue scales hand disability index averaged score three Health Assessment Questionnaire HAQ domains dressing grooming grip hygiene HAQ disability index18 19
6a,PMC3002766,S68, Post hoc analyses included 1 number new DUs week 12 overall patient population subgroups defined randomisation month October  February autumn  winter March  September spring  summer 2 number new DUs time successive new DU total number DUs week 24 subgroups defined number DUs baseline 4
0,PMC3002766,S69, Patients evaluated randomisation baseline every 4 weeks treatment premature withdrawal week 24 applicable 12 weeks healing cardinal ulcer DUs assessed study visit
0,PMC3002766,S70, Safety continually monitored
12a,PMC3002766,S72, Efficacy analyses performed treated patients using SAS software SAS Institute Cary North Carolina USA
12a,PMC3002766,S73, Means  SEs presented numerical variables Kaplan  Meier estimates time to event variables
12a,PMC3002766,S74, Treatment effects primary end points evaluated using Pitman permutation new DUs log rank test asymptotic approximation time healing cardinal ulcer
12a,PMC3002766,S75, Missing data new DUs imputed using extrapolation incidence rate new DUs last assessment corrected missing time period
0,PMC3002766,S76, The worst either calculated number observed values week 24 used patients prematurely discontinued study treatment
0,PMC3002766,S77, Patients valid assessment post baseline three patients bosentan one placebo excluded main analysis
12a,PMC3002766,S78, Treatment effects new DUs predefined subgroups presented point estimates 95 two sided CIs
12a,PMC3002766,S79, For exploratory purposes statistical tests treatment difference provided planned secondary exploratory unplanned post hoc efficacy analyses included Pitman permutation changes baseline Fisher exact test proportions log rank test times event performed without correction multiple testing
12b,PMC3002766,S79, For exploratory purposes statistical tests treatment difference provided planned secondary exploratory unplanned post hoc efficacy analyses included Pitman permutation changes baseline Fisher exact test proportions log rank test times event performed without correction multiple testing
12a,PMC3002766,S80, Placebo corrected changes baseline RR HRs Cox modelling reported 95 CIs appropriate
12b,PMC3002766,S80, Placebo corrected changes baseline RR HRs Cox modelling reported 95 CIs appropriate
0,PMC3002766,S81, Safety baseline data summarised descriptively statistical testing planned given
23,PMC3002834,S49, We studied subgroup CRS patients EpoCaReS trial ClinicalTrials gov NCT00356733 healthy controls comparable age gender
4a,PMC3002834,S50, A detailed description inclusion exclusion criteria study previously published 14
