CONSORT_Item,PMCID,sentence_id,start_char_pos,end_char_pos,section,clean_sentence_text
3a,PMC3002766,S45,5954,6140,Study design, This double blind randomised parallel group placebo controlled study consisted screening period 24 week treatment period 8 week post treatment follow up period
0,PMC3002766,S46,6141,6260,Study design, The study approved local ethics committees conducted accordance amended Declaration Helsinki
0,PMC3002766,S47,6261,6304,Study design, All patients gave written informed consent
4b,PMC3002766,S49,6361,6457,Settings and participants, The study conducted October 2003 May 2005 41 centres Europe North America
4a,PMC3002766,S50,6458,7026,Settings and participants, Recruited patients years old SSc defined preliminary classification criteria American College Rheumatology ACR 17 least one active DU onset 1 week 3 months prior randomisation selected investigator termed ulcer  painful area mm diameter visible depth loss dermis amenable healing location judged compatible vascular aetiology specified protocol volar surface digit distal proximal interphalangeal digital crease
4a,PMC3002766,S51,7035,7348,Settings and participants, Patients excluded received intravenous prostanoids within previous 3 months used phosphodiesterase inhibitors intermittent treatment male erectile dysfunction received inhaled oral prostanoids injected botulinum toxin affected finger within 1 month
4a,PMC3002766,S52,7349,7475,Settings and participants, Patients also excluded received systemic antibiotics treat infected DUs within 2 weeks prior randomisation
4a,PMC3002766,S53,7476,7682,Settings and participants, Also excluded patients body weight 40 kg severe PAH WHO class III IV moderate severe hepatic impairment serum aminotransferase levels 3 times upper limit normal range ULN
0,PMC3002766,S54,7683,7807,Settings and participants, Contraceptive measures monthly pregnancy testing required 3 months end study treatment
8a,PMC3002766,S56,7870,8042,Randomisation and interventions, After screening patients randomised bosentan placebo 1 1 ratio sequential allocation randomisation numbers distributed centre blocks four
8b,PMC3002766,S56,7870,8042,Randomisation and interventions, After screening patients randomised bosentan placebo 1 1 ratio sequential allocation randomisation numbers distributed centre blocks four
5,PMC3002766,S57,8043,8192,Randomisation and interventions, Patients received bosentan 62 5 mg twice daily 4 weeks 125 mg twice daily remainder treatment period matching placebo
5,PMC3002766,S58,8193,8328,Randomisation and interventions, The dose could remain decreased starting dose due intolerance possible subsequent increase target dose
5,PMC3002766,S59,8329,8570,Randomisation and interventions, Concomitant use systemic antibiotics analgaesics topical treatments wound care allowed randomised treatment administered addition usual stable previous month treatment Raynaud s phenomenon
5,PMC3002766,S60,8571,8704,Randomisation and interventions, Patients required parenteral oral inhaled prostanoid treatment study first discontinued study treatment
5,PMC3002766,S61,8705,8831,Randomisation and interventions, Use glibenclamide fluconazole calcineurin inhibitors ciclosporin A allowed due potential drug interactions
6a,PMC3002766,S63,8871,9125,Outcomes, The two primary end points 1 mean number new DUs per patient assessed investigator week 24 2 time healing cardinal ulcer week 24 patients cardinal ulcer healing maintained 12 weeks
6a,PMC3002766,S64,9126,9205,Outcomes, Healing defined complete epithelialisation regardless residual pain
6a,PMC3002766,S65,9206,9484,Outcomes, Maintenance cardinal ulcer healing required recurrence contiguous original location week 24 healing occurred week 12 12 weeks observation permissible extension treatment period healing occurred week 12
6a,PMC3002766,S66,9485,9734,Outcomes, To verify effect treatment would vary substantially across relevant baseline subgroups number new DUs week 24 additionally analysed subgroups based predefined baseline factors associated disease severity
6a,PMC3002766,S67,9743,10540,Outcomes, Secondary exploratory end points included 1 reduction new DUs overall DU number proportions patients new DUs number new DUs week 24 time onset number new DUs week 24 change baseline week 24 total number DUs 2 healing time healing baseline DUs new DUs week 24 proportions patients healing DUs end week 24 3 pain disability parameters changes baseline week 24 pain cardinal ulcer overall hand pain assessed visual analogue scales hand disability index averaged score three Health Assessment Questionnaire HAQ domains dressing grooming grip hygiene HAQ disability index18 19
6a,PMC3002766,S68,10549,10936,Outcomes, Post hoc analyses included 1 number new DUs week 12 overall patient population subgroups defined randomisation month October  February autumn  winter March  September spring  summer 2 number new DUs time successive new DU total number DUs week 24 subgroups defined number DUs baseline 4
0,PMC3002766,S69,10945,11169,Outcomes, Patients evaluated randomisation baseline every 4 weeks treatment premature withdrawal week 24 applicable 12 weeks healing cardinal ulcer DUs assessed study visit
0,PMC3002766,S70,11170,11203,Outcomes, Safety continually monitored
12a,PMC3002766,S72,11254,11373,Statistical methods, Efficacy analyses performed treated patients using SAS software SAS Institute Cary North Carolina USA
12a,PMC3002766,S73,11374,11477,Statistical methods, Means  SEs presented numerical variables Kaplan  Meier estimates time to event variables
12a,PMC3002766,S74,11478,11665,Statistical methods, Treatment effects primary end points evaluated using Pitman permutation new DUs log rank test asymptotic approximation time healing cardinal ulcer
12a,PMC3002766,S75,11666,11820,Statistical methods, Missing data new DUs imputed using extrapolation incidence rate new DUs last assessment corrected missing time period
0,PMC3002766,S76,11821,11960,Statistical methods, The worst either calculated number observed values week 24 used patients prematurely discontinued study treatment
0,PMC3002766,S77,11961,12091,Statistical methods, Patients valid assessment post baseline three patients bosentan one placebo excluded main analysis
12a,PMC3002766,S78,12092,12202,Statistical methods, Treatment effects new DUs predefined subgroups presented point estimates 95 two sided CIs
12a,PMC3002766,S79,12211,12572,Statistical methods, For exploratory purposes statistical tests treatment difference provided planned secondary exploratory unplanned post hoc efficacy analyses included Pitman permutation changes baseline Fisher exact test proportions log rank test times event performed without correction multiple testing
12b,PMC3002766,S79,12211,12572,Statistical methods, For exploratory purposes statistical tests treatment difference provided planned secondary exploratory unplanned post hoc efficacy analyses included Pitman permutation changes baseline Fisher exact test proportions log rank test times event performed without correction multiple testing
12a,PMC3002766,S80,12573,12694,Statistical methods, Placebo corrected changes baseline RR HRs Cox modelling reported 95 CIs appropriate
