CONSORT_Item,PMCID,sentence_id,start_char_pos,end_char_pos,clean_sentence_text
7a,PMC3348565,S91,14172,14540, Given 73 children vitamin D deficiency study region 2005 12 incidence pneumonia ten times higher vitamin D deficient children children without deficiency case control studies1 2 postulated would least 35 reduction pneumonia incidence vitamin D compared placebo group
12a,PMC3028347,S99,15984,16127, Each imputation completed datasets analyzed separately using prespecified ANCOVA model SPSS Windows version 14 0
7a,PMC4893154,S70,10495,10570, We aimed recruit 230 patients 115 per group allow dropout
6a,PMC3420230,S110,19082,19407, Perinatal outcomes gestation delivery baby outcome birth weight presence meconium stained amniotic fluid arterial cord pH venous cord pH Apgar score five minutes congenital anomalies admission neonatal unit including duration need ventilation including duration convulsions jaundice
6a,PMC3551223,S81,13157,13235, The domain fatigue evaluated using question 21 RAQoL questionnaire
0,PMC3321505,S55,9863,10124, The two different primary end points individual studies chosen address clinically relevant end point upper GI ulcers gastric and or duodenal traditional US FDA Food Drug Administration end point gastric ulcers
4a,PMC3002766,S50,6458,7026, Recruited patients years old SSc defined preliminary classification criteria American College Rheumatology ACR 17 least one active DU onset 1 week 3 months prior randomisation selected investigator termed ulcer  painful area mm diameter visible depth loss dermis amenable healing location judged compatible vascular aetiology specified protocol volar surface digit distal proximal interphalangeal digital crease
6a,PMC3002834,S67,8039,8207, Circulating EPC defined cells positive haematopoietic stem cell marker CD34 endothelial marker kinase insert domain receptor KDR ie VEGF receptor 2
12a,PMC5418559,S92,16312,16552, If tenapanor 20  mg b i d tenapanor 50  mg b i d treatment groups significantly different placebo group tenapanor 5  mg b i d treatment group compared placebo group using 5 significance level
8a,PMC3266479,S50,6028,6107, We used computer generated randomisation sequence block size eight
6a,PMC3070271,S60,7397,7470, Pharmacokinetic PK analyses performed blood taken M2 M6
7a,PMC3502035,S85,16069,16526, As proportionately patients achieved blood pressure control study run in thus number randomised participants reduced recalculated total randomised cohort 1500 participants would still provide sufficient study power detect minimum 8 difference groups 85 study power two sided level 0 05 adjusting 2 1 randomisation study intervention versus usual care 13
6a,PMC5529963,S86,11194,11341, Efflux capacity quantified using liquid scintillation measure radioactive cholesterol effluxed cells medium intracellular lipids
6a,PMC3018567,S74,11353,11523, Cytokine responses 1 year age crude culture filtrate proteins Mycobacterium tuberculosis cCFP measured indicator response BCG immunisation
0,PMC4215282,S53,7725,7949, Ponesimod 10  mg selected lowest dose associated approximate 50 reduction peripheral lymphocyte counts 13 considered minimum reduction required immunomodulatory effect
